epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2209174782037735,0.0010000000474974513,2.959542989730835,0.25102588534355164,2.6090970039367676
1,0.28383970260620117,0.0010000000474974513,2.3828670978546143,0.26376113295555115,2.6432242393493652
2,0.40158453583717346,0.0010000000474974513,1.9710657596588135,0.45705389976501465,1.8346338272094727
3,0.46532025933265686,0.0010000000474974513,1.7452027797698975,0.5020517706871033,1.6468123197555542
4,0.48714321851730347,0.0010000000474974513,1.6523449420928955,0.5013442635536194,1.6103633642196655
5,0.5033423900604248,0.0010000000474974513,1.6086896657943726,0.4976651966571808,1.6152931451797485
6,0.5136702656745911,0.0010000000474974513,1.5884153842926025,0.4444601535797119,1.7353829145431519
7,0.5179145932197571,0.0010000000474974513,1.5725911855697632,0.546342134475708,1.513331413269043
8,0.5204966068267822,0.0010000000474974513,1.5604734420776367,0.5197396278381348,1.5838135480880737
9,0.5323099493980408,0.0010000000474974513,1.5511412620544434,0.565586507320404,1.4537431001663208
10,0.5364128351211548,0.0010000000474974513,1.5414215326309204,0.5644544959068298,1.469240427017212
11,0.5366604328155518,0.0010000000474974513,1.5396223068237305,0.4970991909503937,1.5944209098815918
12,0.5423195362091064,0.0010000000474974513,1.532647728919983,0.5634639859199524,1.463187575340271
13,0.5437343120574951,0.0010000000474974513,1.5299688577651978,0.49794819951057434,1.5361226797103882
14,0.5459979772567749,0.0010000000474974513,1.5264889001846313,0.5143625140190125,1.5637972354888916
15,0.5682453513145447,0.0005000000237487257,1.433556079864502,0.5238432288169861,1.4933993816375732
16,0.5770522952079773,0.0005000000237487257,1.3756197690963745,0.5261072516441345,1.4591530561447144
17,0.5758851170539856,0.0005000000237487257,1.3606640100479126,0.5747842192649841,1.3352361917495728
18,0.5786085724830627,0.0005000000237487257,1.3534367084503174,0.5971416234970093,1.288272500038147
19,0.5867435336112976,0.0005000000237487257,1.344754695892334,0.5998302102088928,1.279103398323059
20,0.5883351564407349,0.0005000000237487257,1.3368239402770996,0.5743597149848938,1.3492335081100464
21,0.5920135974884033,0.0005000000237487257,1.3281378746032715,0.563746988773346,1.359007477760315
22,0.5921196937561035,0.0005000000237487257,1.3270764350891113,0.563746988773346,1.349447250366211
23,0.590811014175415,0.0005000000237487257,1.3253363370895386,0.5882269740104675,1.313406229019165
24,0.593817412853241,0.0005000000237487257,1.3200831413269043,0.5869534611701965,1.2929126024246216
25,0.6091324090957642,0.0002500000118743628,1.2606987953186035,0.6253007054328918,1.1990911960601807
26,0.6107593774795532,0.0002500000118743628,1.2374271154403687,0.6088863611221313,1.2108234167099
27,0.6196724772453308,0.0002500000118743628,1.2153520584106445,0.6190745830535889,1.178104281425476
28,0.6162770390510559,0.0002500000118743628,1.2122437953948975,0.6366209387779236,1.1464881896972656
29,0.6224666833877563,0.0002500000118743628,1.2036373615264893,0.586670458316803,1.2440211772918701
30,0.6235985159873962,0.0002500000118743628,1.1974546909332275,0.6306778192520142,1.1437020301818848
31,0.6251547336578369,0.0002500000118743628,1.1853220462799072,0.6431300640106201,1.1280882358551025
32,0.6243765950202942,0.0002500000118743628,1.1854255199432373,0.6269987225532532,1.143363118171692
33,0.628267228603363,0.0002500000118743628,1.177762508392334,0.6265742182731628,1.1498138904571533
34,0.6284794807434082,0.0002500000118743628,1.1779062747955322,0.6285552382469177,1.145241141319275
35,0.6283026337623596,0.0002500000118743628,1.173242211341858,0.6091693639755249,1.1980396509170532
36,0.6279489398002625,0.0002500000118743628,1.1743371486663818,0.6411489844322205,1.11260187625885
37,0.628373384475708,0.0002500000118743628,1.1714866161346436,0.6417149901390076,1.131615400314331
38,0.6276659965515137,0.0002500000118743628,1.1692523956298828,0.6315268278121948,1.1271240711212158
39,0.6320517659187317,0.0002500000118743628,1.1606866121292114,0.6220461130142212,1.1668835878372192
